Date,Price,Open,High,Low,Vol.,Change %
14-Mar-16,2018.75,2019.25,2024.5,2012,880.36K,-0.06%
11-Mar-16,2020,1988.5,2022.25,1987.5,1.22M,1.57%
10-Mar-16,1988.75,1990,2010.25,1967.25,2.74M,-0.01%
9-Mar-16,1989,1981.75,1994,1978,1.74M,0.40%
8-Mar-16,1981,1999,2000.25,1976,1.93M,-0.90%
7-Mar-16,1999,1994.5,2004.5,1984.5,1.63M,0.20%
4-Mar-16,1995,1991,2007.5,1984,2.25M,0.23%
3-Mar-16,1990.5,1981.75,1992.5,1974.75,1.56M,0.35%
2-Mar-16,1983.5,1976.25,1984.75,1966.25,1.82M,0.28%
1-Mar-16,1978,1928,1978.5,1920.75,2.04M,2.51%
29-Feb-16,1929.5,1943,1956.25,1926.5,1.83M,-0.68%
26-Feb-16,1942.75,1949,1968.75,1941.25,1.88M,-0.40%
25-Feb-16,1950.5,1933,1951.5,1920.25,1.84M,1.05%
24-Feb-16,1930.25,1914,1933.75,1886.75,2.32M,0.74%
23-Feb-16,1916,1934,1938,1913.75,1.60M,-1.05%
22-Feb-16,1936.25,1911,1943.75,1908.25,1.43M,1.14%
19-Feb-16,1914.5,1917.5,1922.75,1898.5,1.62M,-0.10%
18-Feb-16,1916.5,1926.75,1933.5,1911.25,1.62M,-0.33%
17-Feb-16,1922.75,1888.25,1928,1881.5,1.85M,1.80%
16-Feb-16,1888.75,1865.25,1892.75,1865,2.03M,0.29%
15-Feb-16,1883.25,1869.38,1890,1868,-,0.74%
14-Feb-16,1869.5,1865.75,1871,1865.25,-,0.61%
12-Feb-16,1858.25,1827.25,1860.75,1822.5,2.02M,1.85%
11-Feb-16,1824.5,1842.25,1847.25,1802.5,3.20M,-1.20%
10-Feb-16,1846.75,1850,1877.75,1838.5,2.36M,-0.08%
9-Feb-16,1848.25,1849.75,1863.75,1825.75,2.79M,-0.20%
8-Feb-16,1852,1876.25,1884.5,1821.75,2.67M,-1.24%
5-Feb-16,1875.25,1905.25,1914.5,1865.75,2.32M,-1.70%
4-Feb-16,1907.75,1907.75,1922.25,1890.25,2.26M,-0.04%
3-Feb-16,1908.5,1895,1912.25,1865,2.85M,0.58%
2-Feb-16,1897.5,1928.5,1929.25,1889,2.10M,-1.75%
1-Feb-16,1931.25,1929.75,1940,1912.5,1.75M,0.06%
29-Jan-16,1930,1878.75,1933,1876.5,2.41M,2.62%
28-Jan-16,1880.75,1880,1902.5,1865.75,2.25M,0.31%
27-Jan-16,1875,1885.25,1910,1864.5,2.11M,-1.11%
26-Jan-16,1896,1871.75,1899.75,1851.25,1.78M,1.38%
25-Jan-16,1870.25,1899.5,1904.25,1855.75,1.64M,-1.53%
22-Jan-16,1899.25,1858.5,1902.25,1855.75,2.11M,2.06%
21-Jan-16,1861,1854.75,1883.25,1836.25,2.73M,0.32%
20-Jan-16,1855,1871.75,1878.5,1804.25,3.93M,-0.96%
19-Jan-16,1873,1869.75,1907.5,1856.25,2.80M,-0.07%
18-Jan-16,1874.25,1869,1890,1865.75,-,0.29%
17-Jan-16,1868.88,1869.75,1873,1860,-,-0.33%
15-Jan-16,1875,1913.5,1921,1849.25,3.44M,-2.06%
14-Jan-16,1914.5,1883.75,1927.5,1871,3.05M,1.75%
13-Jan-16,1881.5,1922.5,1946.5,1878,2.90M,-2.26%
12-Jan-16,1925,1913.5,1940.25,1899,2.43M,0.56%
11-Jan-16,1914.25,1909.25,1929,1892.5,2.49M,0.14%
8-Jan-16,1911.5,1936.5,1964.75,1910,2.69M,-1.11%
7-Jan-16,1933,1987.75,1991,1928.5,2.97M,-2.67%
6-Jan-16,1986,2010.75,2013.25,1970.5,2.24M,-1.28%
5-Jan-16,2011.75,2009,2017,1992.25,1.69M,0.14%
4-Jan-16,2009,2037.75,2043.5,1980.25,2.22M,-1.30%
31-Dec-15,2035.5,2055.25,2057.75,2030.25,1.03M,-0.92%
30-Dec-15,2054.5,2072,2075,2053.5,720.60K,-0.88%
29-Dec-15,2072.75,2049.75,2074.5,2047.5,832.69K,1.17%
28-Dec-15,2048.75,2051.25,2054.5,2035.25,696.45K,-0.12%
24-Dec-15,2051.25,2052.75,2059.75,2049,325.21K,-0.09%
23-Dec-15,2053,2034,2057.75,2030.75,1.00M,0.83%
22-Dec-15,2036,2017,2036.5,2007.25,1.14M,1.04%
21-Dec-15,2015,1997.25,2019.5,1995.25,1.28M,-0.73%
18-Dec-15,2029.72,2033.25,2040.25,2022,63.21K,-0.22%
17-Dec-15,2034.25,2069.75,2082.25,2032.5,408.50K,-1.82%
16-Dec-15,2072,2046,2077,2040,575.72K,1.30%
15-Dec-15,2045.5,2021.75,2054,2019,1.04M,1.34%
14-Dec-15,2018.5,2008,2028.25,1992.25,1.27M,0.44%
11-Dec-15,2009.75,2050.75,2056.25,2005,1.58M,-1.93%
10-Dec-15,2049.25,2045.75,2067,2043.75,1.81M,0.36%
9-Dec-15,2042,2059.5,2079.75,2034.25,2.69M,-0.81%
8-Dec-15,2058.75,2080,2081.5,2050.25,2.01M,-1.07%
7-Dec-15,2081,2092.25,2095.5,2064.5,1.70M,-0.36%
4-Dec-15,2088.5,2053.25,2093,2046.75,2.27M,1.82%
3-Dec-15,2051.25,2083.25,2095.25,2040,2.66M,-1.45%
2-Dec-15,2081.5,2099.5,2105,2075,1.73M,-0.88%
1-Dec-15,2100,2085.5,2101.5,2083.5,1.48M,0.97%
30-Nov-15,2079.75,2089.5,2095,2078.5,1.39M,-0.49%
27-Nov-15,2090,2089.5,2098.25,2081.5,653.39K,-0.27%
26-Nov-15,2095.75,2089.5,2098.25,2088.5,-,0.37%
25-Nov-15,2088,2084,2092.5,2082.25,746.32K,0.16%
24-Nov-15,2084.75,2083,2091.5,2065.5,1.52M,0.02%
23-Nov-15,2084.25,2089.75,2093,2078.25,976.10K,-0.22%
20-Nov-15,2088.75,2078.25,2094.5,2076,1.27M,0.46%
19-Nov-15,2079.25,2078.25,2089.25,2075.25,1.28M,-0.02%
18-Nov-15,2079.75,2049.75,2082.5,2043,1.54M,1.50%
17-Nov-15,2049,2047.75,2063.5,2041.5,1.62M,0.05%
16-Nov-15,2048,2006.5,2051,1998.5,1.71M,1.46%
13-Nov-15,2018.5,2040.5,2046,2011.5,2.13M,-1.08%
12-Nov-15,2040.5,2068.5,2077.5,2039.5,1.81M,-1.38%
11-Nov-15,2069,2076.5,2087.25,2067.75,1.17M,-0.43%
10-Nov-15,2078,2072.25,2079,2064.5,1.29M,0.24%
9-Nov-15,2073,2092,2097.75,2062,1.86M,-0.99%
6-Nov-15,2093.75,2094.75,2099,2077.5,1.85M,-0.01%
5-Nov-15,2094,2095.5,2104.75,2084,1.54M,-0.04%
4-Nov-15,2094.75,2102.5,2109.75,2090.5,1.55M,-0.39%
3-Nov-15,2103,2093.25,2110.25,2089,1.35M,0.36%
2-Nov-15,2095.5,2073,2100,2064.25,1.28M,1.05%
30-Oct-15,2073.75,2084.75,2094.75,2069.75,1.75M,-0.44%
29-Oct-15,2083,2081,2086.5,2073.25,1.41M,-0.07%
28-Oct-15,2084.5,2062,2085.25,2055.5,1.89M,1.16%
27-Oct-15,2060.5,2063.75,2064.75,2051.25,1.24M,-0.08%
26-Oct-15,2062.25,2066,2068,2057.5,1.18M,-0.18%
23-Oct-15,2066,2054.25,2074.5,2053.25,2.07M,0.63%
22-Oct-15,2053,2010.5,2056,2008.5,2.10M,2.22%
21-Oct-15,2008.5,2019.75,2034.25,2007.5,1.79M,-0.59%
20-Oct-15,2020.5,2026.5,2031.5,2018.5,1.28M,-0.35%
19-Oct-15,2027.5,2024.5,2028,2014.25,1.31M,0.10%
16-Oct-15,2025.5,2018.25,2026.5,2012.25,1.36M,0.32%
15-Oct-15,2019,1985.75,2019.5,1985,1.73M,1.76%
14-Oct-15,1984,1991.5,2001.75,1982.5,1.78M,-0.50%
13-Oct-15,1994,2012,2014.75,1991.25,1.52M,-0.85%
12-Oct-15,2011,2005.25,2014,2001.75,804.58K,0.17%
9-Oct-15,2007.5,2004,2014,1998.75,1.38M,0.05%
8-Oct-15,2006.5,1987.75,2008.75,1971,1.80M,0.97%
7-Oct-15,1987.25,1961,1991.25,1960.5,1.94M,0.95%
6-Oct-15,1968.5,1973,1982.25,1962.5,1.61M,-0.32%
5-Oct-15,1974.75,1941,1980,1937.25,1.68M,1.63%
2-Oct-15,1943,1917,1943.75,1883,2.47M,1.37%
1-Oct-15,1916.75,1902.5,1929.5,1890.25,2.05M,0.42%
30-Sep-15,1908.75,1875,1910.5,1871.25,2.22M,1.83%
29-Sep-15,1874.5,1876.25,1889.75,1861,2.37M,0.13%
28-Sep-15,1872,1915.5,1929.75,1868.75,2.35M,-2.46%
25-Sep-15,1919.25,1913.25,1951,1910.25,2.08M,0.03%
24-Sep-15,1918.75,1931.75,1936.25,1897.25,2.22M,-0.51%
23-Sep-15,1928.5,1930.5,1941.75,1910.5,1.42M,-0.18%
22-Sep-15,1932,1964.25,1965,1917.75,1.99M,-1.58%
21-Sep-15,1963,1949.25,1969,1938.5,1.51M,-0.36%
18-Sep-15,1970.1,1988,1993.75,1954.75,85.62K,-0.89%
17-Sep-15,1987.75,1997,2021.5,1982.5,522.53K,-0.53%
16-Sep-15,1998.25,1979.75,1999,1972.75,595.80K,0.93%
15-Sep-15,1979.75,1953.25,1983,1945,1.03M,1.32%
14-Sep-15,1954,1963.75,1974.25,1946.5,893.37K,-0.32%
11-Sep-15,1960.25,1949.5,1962.5,1937.25,1.05M,0.55%
10-Sep-15,1949.5,1943.75,1967.25,1928.5,2.27M,0.35%
9-Sep-15,1942.75,1966.5,1992,1935.5,2.14M,-1.17%
8-Sep-15,1965.75,1916.75,1968.75,1915.75,1.88M,1.38%
7-Sep-15,1938.95,1925.5,1944.15,1919.65,-,0.69%
6-Sep-15,1925.75,1917.38,1928.88,1916.95,-,0.21%
4-Sep-15,1921.75,1947.25,1949.25,1907.75,2.14M,-1.25%
3-Sep-15,1946,1947.5,1973.5,1942,2.05M,-0.05%
2-Sep-15,1947,1913.5,1949,1907.25,2.18M,1.62%
1-Sep-15,1916,1965.5,1966.25,1898.75,2.82M,-2.70%
31-Aug-15,1969.25,1986.25,1987.75,1959.25,1.88M,-1.03%
28-Aug-15,1989.75,1988.25,1992.75,1967.25,1.97M,0.03%
27-Aug-15,1989.25,1941.25,1990.25,1934.5,2.94M,2.64%
26-Aug-15,1938,1876,1943,1850.5,3.53M,3.48%
25-Aug-15,1872.75,1872.75,1948.5,1860,3.66M,0.08%
24-Aug-15,1871.25,1964.5,1964.75,1831,5.26M,-5.08%
21-Aug-15,1971.5,2026.25,2029,1967.25,4.17M,-2.67%
20-Aug-15,2025.5,2073.5,2077.75,2024.5,2.58M,-2.28%
19-Aug-15,2072.75,2093.25,2098,2066.5,2.29M,-1.01%
18-Aug-15,2094,2098.25,2103.75,2090.25,1.14M,-0.25%
17-Aug-15,2099.25,2089.5,2100.5,2074.75,1.29M,0.47%
14-Aug-15,2089.5,2079.25,2090.5,2073.75,1.07M,0.43%
13-Aug-15,2080.5,2082.75,2093,2073.25,1.50M,-0.18%
12-Aug-15,2084.25,2080.75,2085.25,2046.5,2.36M,0.22%
11-Aug-15,2079.75,2100.75,2101.75,2070.75,1.78M,-0.95%
10-Aug-15,2099.75,2072,2101.25,2071.75,1.20M,1.27%
7-Aug-15,2073.5,2080,2082.75,2062,1.60M,-0.29%
6-Aug-15,2079.5,2094,2099.25,2070,1.61M,-0.68%
5-Aug-15,2093.75,2082.5,2107,2082.25,1.38M,0.52%
4-Aug-15,2083,2090.5,2096.25,2081.5,1.33M,-0.38%
3-Aug-15,2091,2098.75,2102.5,2080,1.51M,-0.36%
31-Jul-15,2098.5,2101.75,2109.25,2095.25,1.60M,-0.25%
30-Jul-15,2103.75,2099.5,2104.25,2087.75,1.29M,0.11%
29-Jul-15,2101.5,2088,2104.25,2084.5,1.40M,0.68%
28-Jul-15,2087.25,2065.5,2089,2061.5,1.73M,1.10%
27-Jul-15,2064.5,2078.25,2080.75,2056.5,1.78M,-0.63%
24-Jul-15,2077.5,2101,2104,2069.75,1.67M,-1.00%
23-Jul-15,2098.5,2109.25,2113.75,2091.5,1.44M,-0.45%
22-Jul-15,2108,2107.75,2112,2102.25,1.22M,-0.31%
21-Jul-15,2114.5,2121.25,2125,2106.75,1.21M,-0.35%
20-Jul-15,2122,2118,2126.25,2116.5,937.63K,0.15%
17-Jul-15,2118.75,2117,2120,2112.75,903.69K,0.08%
16-Jul-15,2117,2104,2118.5,2102.75,1.11M,0.61%
15-Jul-15,2104.25,2102.5,2107.75,2095,1.15M,0.11%
14-Jul-15,2102,2094,2105.5,2090.5,955.52K,0.36%
13-Jul-15,2094.5,2054.75,2094.75,2052,1.33M,1.23%
10-Jul-15,2069,2044.75,2074.75,2044.75,1.57M,1.36%
9-Jul-15,2041.25,2039.75,2068,2038.25,1.98M,0.10%
8-Jul-15,2039.25,2073,2073.25,2036.25,2.39M,-1.66%
7-Jul-15,2073.75,2067.75,2078,2035,2.53M,0.45%
6-Jul-15,2064.5,2037.25,2071.75,2034.25,1.97M,-0.08%
3-Jul-15,2066.05,2068.05,2071.95,2063.45,-,-0.13%
2-Jul-15,2068.75,2071.5,2079,2062.25,1.25M,-0.11%
1-Jul-15,2071,2054.5,2077.5,2054.5,1.50M,0.80%
30-Jun-15,2054.5,2054.5,2069,2046.75,2.38M,0.20%
29-Jun-15,2050.5,2064,2083.25,2047.25,2.29M,-2.16%
26-Jun-15,2095.75,2094.75,2100.75,2086.25,1.32M,0.08%
25-Jun-15,2094,2101.25,2112.75,2092,1.22M,-0.26%
24-Jun-15,2099.5,2117.5,2118.5,2099,1.16M,-0.80%
23-Jun-15,2116.5,2114.75,2120.5,2111.25,837.13K,0.18%
22-Jun-15,2112.75,2105.75,2122,2103.5,1.10M,-0.21%
19-Jun-15,2117.11,2123.25,2126.5,2118.25,-,-0.28%
18-Jun-15,2123,2097.25,2127.5,2090.5,430.53K,1.22%
17-Jun-15,2097.5,2097.75,2107,2087,550.65K,0.00%
16-Jun-15,2097.5,2083.5,2098.25,2070.5,795.76K,0.65%
15-Jun-15,2084,2087,2089.75,2071.25,1.08M,-0.43%
12-Jun-15,2093,2109,2109.25,2090.25,1.13M,-0.77%
11-Jun-15,2109.25,2106,2114.75,2103.25,1.48M,0.11%
10-Jun-15,2107,2080.75,2108,2080,1.67M,1.30%
9-Jun-15,2080,2080,2084.75,2068.75,1.45M,0.08%
8-Jun-15,2078.25,2092,2093.25,2076.25,1.29M,-0.67%
5-Jun-15,2092.25,2098.75,2102.75,2083.5,1.46M,-0.32%
4-Jun-15,2099,2116.25,2116.5,2091.25,1.72M,-0.80%
3-Jun-15,2116,2107,2120.75,2106.75,1.31M,0.44%
2-Jun-15,2106.75,2111,2116,2094,1.44M,-0.12%
1-Jun-15,2109.25,2107,2117.75,2100.25,1.34M,0.15%
29-May-15,2106,2121.75,2122.75,2102.25,1.69M,-0.74%
28-May-15,2121.75,2120,2122.75,2110.5,1.08M,0.04%
27-May-15,2121,2105.75,2124.25,2101.25,1.29M,0.76%
26-May-15,2105,2124.5,2127,2096,1.59M,-0.82%
25-May-15,2122.45,2125.15,2126.95,2118.65,-,-0.12%
24-May-15,2124.95,2124.45,2126.15,2123.65,-,0.02%
22-May-15,2124.5,2129.25,2131,2122.75,765.94K,-0.16%
21-May-15,2128,2120.75,2132,2115,794.48K,0.26%
20-May-15,2122.5,2124.25,2132.25,2119.25,1.01M,-0.09%
19-May-15,2124.5,2126.75,2134,2121.25,1.00M,-0.07%
18-May-15,2126,2119.25,2128.75,2112.25,917.10K,0.33%
15-May-15,2119,2117.25,2122.75,2113.25,1.02M,0.07%
14-May-15,2117.5,2096,2118.25,2092,1.10M,1.10%
13-May-15,2094.5,2096.25,2106.5,2091.5,1.34M,-0.02%
12-May-15,2095,2097.75,2101,2079.25,1.48M,-0.13%
11-May-15,2097.75,2110,2113.5,2095.75,1.15M,-0.51%
8-May-15,2108.5,2085.25,2113.5,2084,1.38M,1.16%
7-May-15,2084.25,2074.75,2088.25,2057,1.44M,0.48%
6-May-15,2074.25,2085.5,2093.75,2061.25,1.76M,-0.47%
